Month,Hour,temp_celsius,humidity,wind_speed,generation wind onshore,total load actual
1,21,7.92,50,4,10185.0,25815.0
5,9,13.68,82,1,1753.0,22576.0
7,10,28.1,78,0,546.0,37260.0
8,4,22.18,64,1,3092.0,21793.0
11,20,11.0,50,0,1499.0,36454.0
3,0,10.0,81,0,5150.0,25472.0
2,16,13.35,79,2,3596.0,31273.0
8,13,28.86,42,1,3079.0,28992.0
6,2,17.25,43,2,4445.0,23577.0
8,16,34.56,40,1,10596.0,30452.0
12,15,16.0,44,4,7329.0,33914.0
12,19,13.0,76,1,4355.0,37104.0
2,7,8.2,89,3,12115.0,31651.0
2,23,9.2,46,1,11086.0,29201.0
3,1,4.1,71,2,5305.0,23002.0
4,1,14.0,76,2,9273.0,22485.0
12,21,11.0,57,5,13384.0,32597.0
8,18,27.77,74,4,4361.0,25180.0
2,9,6.0,81,1,2958.0,34402.0
5,8,14.0,82,1,1844.0,20985.0
8,4,25.0,73,1,7642.0,24260.0
7,12,30.0,48,3,9907.0,34251.0
7,12,29.19,66,3,1725.0,37303.0
1,1,6.0,87,2,1615.0,24090.0
4,19,18.7,49,3,6293.0,29337.0
8,14,29.63,51,2,4141.0,34512.0
8,20,30.0,37,4,5745.0,31840.0
5,9,18.0,72,0,1979.0,30851.0
5,7,14.0,82,0,826.0,25908.0
12,16,17.0,59,3,8163.0,23671.0
10,8,12.15,85,4,6317.0,29620.0
12,1,6.0,93,2,3364.0,22286.0
10,20,21.0,68,2,6145.0,32061.0
1,13,14.82,51,2,8718.0,26802.0
8,2,23.36,78,3,6658.0,23306.0
9,4,22.0,83,3,6984.0,22607.0
9,9,21.0,83,1,2249.0,32566.0
8,13,30.0,45,2,2940.0,36063.0
3,12,21.28,26,1,6813.0,24867.0
5,6,17.0,82,2,1541.0,24427.0
8,21,28.0,69,3,3695.0,33481.0
1,7,4.0,80,1,3357.0,26539.0
5,1,22.0,78,1,3903.0,25153.0
1,0,15.0,54,5,10099.0,28930.0
10,11,18.51,65,1,2544.0,31662.0
10,9,16.07,93,2,4111.0,31570.0
1,12,13.0,87,8,7757.0,29256.0
11,6,16.0,93,1,3355.0,26108.0
11,9,14.0,93,2,4432.0,27428.0
10,23,18.0,82,2,3865.0,23899.0
8,10,25.21,78,2,2062.0,34238.0
9,19,20.44,31,6,8670.0,30156.0
9,14,29.0,51,2,2135.0,35097.0
6,19,25.19,69,1,7021.0,25663.0
5,22,19.13,64,2,3983.0,29112.0
1,6,13.41,58,11,1578.0,26062.0
10,14,24.0,44,1,478.0,31103.0
3,19,16.82,42,2,4625.0,36017.0
10,18,19.0,77,4,3322.0,31777.0
9,14,27.0,42,1,3747.0,31450.0
9,9,20.0,88,2,3287.0,31938.0
4,17,18.04,68,6,6336.0,29505.0
10,10,18.0,59,3,3316.0,23853.0
10,9,11.0,76,4,3717.0,33604.0
8,6,20.27,83,1,3020.0,24554.0
5,3,19.0,77,2,4981.0,21124.0
10,4,14.98,86,1,10805.0,20774.0
6,0,20.0,68,2,3890.0,28642.0
6,11,24.6,55,0,1000.0,29090.0
1,23,4.87,55,2,8833.0,30011.0
6,9,25.0,61,1,1323.0,34438.0
10,17,25.0,41,3,4824.0,29875.0
5,12,25.0,36,1,521.0,32065.0
8,19,27.33,62,5,3208.0,31074.0
6,7,17.02,66,2,6761.0,27292.0
12,17,13.17,72,2,11695.0,30011.0
11,19,17.0,88,0,6023.0,28812.0
9,14,27.57,61,2,1299.0,29436.0
11,2,11.0,43,3,2813.0,25565.0
10,4,12.32,87,2,2546.0,22681.0
4,1,12.03,36,3,14023.0,21905.0
10,2,16.0,100,3,6744.0,22957.0
7,16,36.0,14,5,7068.0,36883.0
12,2,10.0,57,3,10888.0,25288.0
8,5,18.0,72,6,3097.0,20347.0
5,4,18.0,63,4,6404.0,21967.0
2,0,8.0,81,3,9119.0,28533.0
8,10,24.0,69,4,1653.0,25987.0
1,9,7.0,65,2,3802.0,36607.0
8,10,26.0,65,1,1724.0,32312.0
7,15,29.0,58,5,3349.0,34870.0
4,3,13.75,77,4,8476.0,23235.0
5,7,14.0,76,2,2336.0,22402.0
5,7,12.64,92,1,12674.0,27781.0
10,12,23.0,73,1,5493.0,24876.0
12,9,1.0,69,1,5153.0,26294.0
5,8,14.0,76,1,2356.0,24095.0
12,12,12.93,67,1,4180.0,28617.0
8,14,29.21,45,4,2492.0,31855.0
4,1,6.17,80,2,6180.0,24907.0
11,7,12.0,81,1,3839.0,24229.0
5,1,17.46,43,5,10335.0,21917.0
10,20,23.0,73,2,8222.0,33668.0
7,5,24.16,88,2,2714.0,25787.0
11,7,15.0,77,3,8598.0,21474.0
12,17,16.0,63,2,1534.0,30436.0
7,1,24.46,69,2,7481.0,27830.0
8,12,29.74,55,1,4887.0,38604.0
2,6,9.2,61,2,6427.0,27234.0
12,19,15.0,87,0,4177.0,29820.0
6,16,23.05,60,3,5772.0,29552.0
12,14,18.0,68,0,3009.0,31516.0
6,0,29.0,26,6,10924.0,27754.0
1,23,9.0,81,3,3030.0,30981.0
11,8,12.0,100,1,4249.0,26278.0
2,23,5.0,75,3,8288.0,31242.0
4,15,17.0,48,4,5252.0,30381.0
9,14,26.0,61,1,8716.0,30637.0
2,3,6.1,55,1,2821.0,19730.0
11,0,15.0,93,2,1088.0,26186.0
11,13,19.0,45,1,2107.0,26980.0
4,17,16.52,55,6,8129.0,30686.0
9,3,22.34,29,5,9036.0,21062.0
10,5,21.0,83,1,8630.0,24982.0
6,20,32.0,24,10,14179.0,31887.0
10,15,27.47,51,3,13160.0,27409.0
3,17,16.85,45,2,6298.0,29551.0
10,9,13.0,100,2,4060.0,30820.0
6,11,24.0,53,1,1310.0,36661.0
5,0,19.0,42,1,7522.0,28490.0
3,8,6.57,86,1,6342.0,23100.0
10,17,19.0,82,2,3144.0,22713.0
5,17,25.27,33,3,7008.0,23487.0
1,1,13.6,55,3,9822.0,26119.0
11,5,12.55,90,1,3849.0,24065.0
4,15,23.54,29,3,8975.0,30867.0
4,11,17.0,45,2,9875.0,32376.0
5,5,14.0,87,0,8085.0,21781.0
10,22,23.0,78,1,9081.0,25829.0
7,3,18.73,93,2,8643.0,24672.0
9,16,27.69,23,1,4914.0,30413.0
6,23,20.91,64,1,8890.0,27876.0
11,19,15.0,77,1,9046.0,31815.0
3,20,15.0,33,3,11682.0,37292.0
7,17,27.0,54,6,2775.0,26203.0
6,19,31.0,35,4,5063.0,36160.0
5,4,14.0,82,1,7891.0,22971.0
9,11,23.0,69,1,956.0,31930.0
4,16,21.0,37,4,3138.0,32193.0
4,23,13.08,93,2,6021.0,28650.0
1,3,6.19,64,2,8384.0,22859.0
2,10,9.14,83,2,4138.0,35347.0
8,12,29.17,62,0,1610.0,33426.0
9,14,26.0,61,3,3112.0,31993.0
4,2,15.04,57,4,6257.0,22168.0
11,10,12.0,76,4,6259.0,34843.0
11,12,17.0,48,0,14479.0,27909.0
2,7,9.21,70,1,5667.0,31491.0
6,7,16.74,80,3,3826.0,22142.0
12,18,12.98,51,1,5155.0,36606.0
8,10,21.0,52,2,5221.0,32650.0
12,22,10.48,87,1,6871.0,30428.0
12,22,8.0,100,1,2482.0,30865.0
1,5,-2.86,71,2,4618.0,19905.0
9,20,18.16,72,2,4646.0,32046.0
11,3,9.0,81,2,2863.0,21545.0
5,1,10.31,26,2,4212.0,25329.0
